date,away_team,away_pt,home_team,home_pt,away_open_sp,away_open_line,away_fduel_sp,away_fduel_line,away_bmgm_sp,away_bmgm_line,away_czr_sp,away_czr_line,away_dking_sp,away_dking_line,away_rivers_sp,away_rivers_line,away_vinsider_sp,away_vinsider_line,home_open_sp,home_open_line,home_fduel_sp,home_fduel_line,home_bmgm_sp,home_bmgm_line,home_czr_sp,home_czr_line,home_dking_sp,home_dking_line,home_rivers_sp,home_rivers_line,home_vinsider_sp,home_vinsider_line
Wed Jan 25 2023,Brooklyn Nets,133,Philadelphia 76ers,137,N/A,o225.5,-110,o225.5,-110,o225,-110,o225.5,-110,o225.5,-110,N/A,u225.5,-110,u225.5,-110,u225,-110,u225.5,-110,u225.5,-110,,,,,,
Wed Jan 25 2023,Washington Wizards,108,Houston Rockets,103,N/A,o233.5,-110,o233.5,-110,o232.5,-110,o234.5,-110,o233.5,-110,N/A,u233.5,-110,u233.5,-110,u232.5,-110,u234.5,-110,u233.5,-110,,,,,,
Wed Jan 25 2023,Denver Nuggets,99,Milwaukee Bucks,107,N/A,o227.5,-112,o227.5,-115,o227.5,-110,o227.5,-110,o227.5,-112,N/A,u227.5,-108,u227.5,-105,u227.5,-110,u227.5,-110,u227.5,-108,,,,,,
Wed Jan 25 2023,Minnesota Timberwolves,111,New Orleans Pelicans,102,N/A,o228.5,-110,o228.5,-115,o229.5,-110,o228.5,-110,o228.5,-110,N/A,u228.5,-110,u228.5,-105,u229.5,-110,u228.5,-110,u228.5,-110,,,,,,
Wed Jan 25 2023,Atlanta Hawks,137,Oklahoma City Thunder,132,N/A,o238.5,-110,o237.5,-115,o238,-110,o238,-110,o238.5,-110,N/A,u238.5,-110,u237.5,-105,u238,-110,u238,-110,u238.5,-110,,,,,,
Wed Jan 25 2023,Memphis Grizzlies,120,Golden State Warriors,122,N/A,o245.5,-110,o245.5,-110,o246,-110,o245.5,-110,o245.5,-110,N/A,u245.5,-110,u245.5,-110,u246,-110,u245.5,-110,u245.5,-110,,,,,,
Wed Jan 25 2023,Utah Jazz,124,Portland Trail Blazers,134,N/A,o239.5,-110,o239.5,-110,o239,-110,o239.5,-110,o239.5,-110,N/A,u239.5,-110,u239.5,-110,u239,-110,u239.5,-110,u239.5,-110,,,,,,
Wed Jan 25 2023,Toronto Raptors,113,Sacramento Kings,95,N/A,o237,-112,o237.5,-110,o237.5,-110,o237.5,-110,o237,-112,N/A,u237,-108,u237.5,-110,u237.5,-110,u237.5,-110,u237,-108,,,,,,
Wed Jan 25 2023,San Antonio Spurs,104,Los Angeles Lakers,113,N/A,o245.5,-110,o244.5,-110,o245,-110,o244.5,-110,o245.5,-110,N/A,u245.5,-110,u244.5,-110,u245,-110,u244.5,-110,u245.5,-110,,,,,,
Thu Jan 26 2023,New York Knicks,120,Boston Celtics,117,N/A,o221.5,-110,o221.5,-105,o221.5,-110,N/A,o221.5,-110,N/A,u221.5,-110,u221.5,-115,u221.5,-110,N/A,u221.5,-110,,,,,,,,
Thu Jan 26 2023,Detroit Pistons,130,Brooklyn Nets,122,N/A,o235,-110,o234.5,-110,o234.5,-110,N/A,o235,-110,N/A,u235,-110,u234.5,-110,u234.5,-110,N/A,u235,-110,,,,,,,,
Thu Jan 26 2023,Chicago Bulls,96,Charlotte Hornets,111,N/A,o236,-112,o235.5,-115,o236,-110,N/A,o236,-112,N/A,u236,-108,u235.5,-105,u236,-110,N/A,u236,-108,,,,,,,,
Thu Jan 26 2023,Cleveland Cavaliers,113,Houston Rockets,95,N/A,o217,-110,o217.5,-115,o217,-110,N/A,o217,-110,N/A,u217,-110,u217.5,-105,u217,-110,N/A,u217,-110,,,,,,,,
Thu Jan 26 2023,Dallas Mavericks,99,Phoenix Suns,95,N/A,o220.5,-110,o221.5,-110,o221,-110,N/A,o220.5,-110,N/A,u220.5,-110,u221.5,-110,u221,-110,N/A,u220.5,-110,,,,,,,,
Thu Jan 26 2023,San Antonio Spurs,100,Los Angeles Clippers,138,N/A,o234,-108,o234.5,-110,o234,-110,N/A,o234,-108,N/A,u234,-112,u234.5,-110,u234,-110,N/A,u234,-112,,,,,,,,
Fri Jan 27 2023,Milwaukee Bucks,141,Indiana Pacers,131,N/A,o239,-110,o239.5,-105,o239,-110,o239,-110,o239,-110,N/A,u239,-110,u239.5,-115,u239,-110,u239,-110,u239,-110,,,,,,
Fri Jan 27 2023,Memphis Grizzlies,100,Minnesota Timberwolves,111,N/A,o236,-110,o235.5,-115,o236,-110,o236,-110,o236,-110,N/A,u236,-110,u235.5,-105,u236,-110,u236,-110,u236,-110,,,,,,
Fri Jan 27 2023,Orlando Magic,105,Miami Heat,110,N/A,o219,-110,o218.5,-110,o219,-110,o219,-110,o219,-110,N/A,u219,-110,u218.5,-110,u219,-110,u219,-110,u219,-110,,,,,,
Fri Jan 27 2023,Cleveland Cavaliers,100,Oklahoma City Thunder,112,N/A,o221.5,-112,o221.5,-110,o221.5,-110,o221.5,-110,o221.5,-112,N/A,u221.5,-108,u221.5,-110,u221.5,-110,u221.5,-110,u221.5,-108,,,,,,
Fri Jan 27 2023,Toronto Raptors,117,Golden State Warriors,129,N/A,o234,-110,o233.5,-110,o234,-110,o234,-110,o234,-110,N/A,u234,-110,u233.5,-110,u234,-110,u234,-110,u234,-110,,,,,,
Sat Jan 28 2023,Denver Nuggets,119,Philadelphia 76ers,126,N/A,o231.5,-110,o231.5,-115,o231.5,-110,o231.5,-105,o231.5,-110,N/A,u231.5,-110,u231.5,-105,u231.5,-110,u231.5,-115,u231.5,-110,,,,,,
Sat Jan 28 2023,New York Knicks,115,Brooklyn Nets,122,N/A,o223,-110,o224.5,-105,o223.5,-110,o224,-105,o223,-110,N/A,u223,-110,u224.5,-115,u223.5,-110,u224,-115,u223,-110,,,,,,
Sat Jan 28 2023,Houston Rockets,117,Detroit Pistons,114,N/A,o234.5,-110,o234.5,-110,o234.5,-110,o235,-110,o234.5,-110,N/A,u234.5,-110,u234.5,-110,u234.5,-110,u235,-110,u234.5,-110,,,,,,
Sat Jan 28 2023,Chicago Bulls,128,Orlando Magic,109,N/A,o230.5,-110,o230.5,-110,o230.5,-110,o230.5,-110,o230.5,-110,N/A,u230.5,-110,u230.5,-110,u230.5,-110,u230.5,-110,u230.5,-110,,,,,,
Sat Jan 28 2023,Los Angeles Clippers,120,Atlanta Hawks,113,N/A,o232,-110,o231.5,-110,o230.5,-110,o231.5,-110,o232,-110,N/A,u232,-110,u231.5,-110,u230.5,-110,u231.5,-110,u232,-110,,,,,,
Sat Jan 28 2023,Sacramento Kings,110,Minnesota Timberwolves,117,N/A,o238.5,-110,o237.5,-110,o238.5,-110,o239,-110,o238.5,-110,N/A,u238.5,-110,u237.5,-110,u238.5,-110,u239,-110,u238.5,-110,,,,,,
Sat Jan 28 2023,Washington Wizards,113,New Orleans Pelicans,103,N/A,o230.5,-110,o230.5,-110,o230.5,-110,o230.5,-110,o230.5,-110,N/A,u230.5,-110,u230.5,-110,u230.5,-110,u230.5,-110,u230.5,-110,,,,,,
Sat Jan 28 2023,Phoenix Suns,128,San Antonio Spurs,118,N/A,o231,-110,o231.5,-110,o232,-110,o231.5,-105,o231,-110,N/A,u231,-110,u231.5,-110,u232,-110,u231.5,-115,u231,-110,,,,,,
Sat Jan 28 2023,Los Angeles Lakers,121,Boston Celtics,125,N/A,o234,-108,o234.5,-110,o234,-110,o235,-110,o234,-108,N/A,u234,-112,u234.5,-110,u234,-110,u235,-110,u234,-112,,,,,,
Sat Jan 28 2023,Dallas Mavericks,100,Utah Jazz,108,N/A,o223.5,-110,o222.5,-115,o223,-110,o223,-110,o223.5,-110,N/A,u223.5,-110,u222.5,-105,u223,-110,u223,-110,u223.5,-110,,,,,,
Sat Jan 28 2023,Toronto Raptors,123,Portland Trail Blazers,105,N/A,o232,-110,o231.5,-110,o231.5,-110,o231.5,-110,o232,-110,N/A,u232,-110,u231.5,-110,u231.5,-110,u231.5,-110,u232,-110,,,,,,
Sun Jan 29 2023,Miami Heat,117,Charlotte Hornets,122,N/A,o224,-110,o223.5,-115,o224,-110,o224,-105,o224,-110,N/A,u224,-110,u223.5,-105,u224,-110,u224,-115,u224,-110,,,,,,
Sun Jan 29 2023,Indiana Pacers,100,Memphis Grizzlies,112,o239.5,-110,o241.5,-110,o241.5,-115,o242,-110,o242,-110,o241.5,-110,u239.5,-110,u241.5,-110,u241.5,-105,u242,-110,u242,-110,u241.5,-110,,,,
Sun Jan 29 2023,Los Angeles Clippers,99,Cleveland Cavaliers,122,o215,-110,o215,-110,o214.5,-110,o215.5,-110,o215,-110,o215,-110,u215,-110,u215,-110,u214.5,-110,u215.5,-110,u215,-110,u215,-110,,,,
Sun Jan 29 2023,New Orleans Pelicans,110,Milwaukee Bucks,135,N/A,o229,-110,o229.5,-110,o229,-110,o229.5,-110,o229,-110,N/A,u229,-110,u229.5,-110,u229,-110,u229.5,-110,u229,-110,,,,,,
Mon Jan 30 2023,Orlando Magic,119,Philadelphia 76ers,109,o232,-110,o230.5,-110,o230.5,-115,o230.5,-110,o230.5,-110,o230.5,-109,o230.5,-110,u232,-110,u230.5,-110,u230.5,-105,u230.5,-110,u230.5,-110,u230.5,-112,u230.5,-110
Mon Jan 30 2023,Los Angeles Lakers,104,Brooklyn Nets,121,o233.5,-110,o231,-110,o230.5,-115,o231,-110,o231,-110,o231.5,-110,o231,-110,u233.5,-110,u231,-110,u230.5,-105,u231,-110,u231,-110,u231.5,-110,u231,-110
Mon Jan 30 2023,Sacramento Kings,118,Minnesota Timberwolves,111,o236.5,-110,o236.5,-110,o236.5,-110,o236.5,-110,o238,-110,o237,-108,o236.5,-110,u236.5,-110,u236.5,-110,u236.5,-110,u236.5,-110,u238,-110,u237,-113,u236.5,-110
Mon Jan 30 2023,Golden State Warriors,128,Oklahoma City Thunder,120,o241,-112,o242,-110,o242.5,-110,o242.5,-110,o242.5,-110,o242.5,-109,o242,-110,u241,-108,u242,-110,u242.5,-110,u242.5,-110,u242.5,-110,u242.5,-112,u242,-110
Mon Jan 30 2023,Washington Wizards,127,San Antonio Spurs,106,o235,-110,o240,-110,o240.5,-110,o240.5,-110,o240,-110,o240,-113,o240,-110,u235,-110,u240,-110,u240.5,-110,u240.5,-110,u240,-110,u240,-108,u240,-110
Mon Jan 30 2023,Detroit Pistons,105,Dallas Mavericks,111,o231.5,-110,o232,-110,o231.5,-115,o232,-110,o232.5,-110,o232,-108,o232,-110,u231.5,-110,u232,-110,u231.5,-105,u232,-110,u232.5,-110,u232,-113,u232,-110
Mon Jan 30 2023,Toronto Raptors,106,Phoenix Suns,114,o227.5,-110,o220,-110,o219.5,-115,o220,-110,o219.5,-110,o220,-108,o220,-110,u227.5,-110,u220,-110,u219.5,-105,u220,-110,u219.5,-110,u220,-113,u220,-110
Mon Jan 30 2023,Atlanta Hawks,125,Portland Trail Blazers,129,o235.5,-110,o232.5,-110,o232.5,-115,o232.5,-110,o233,-110,o232.5,-110,o232.5,-110,u235.5,-110,u232.5,-110,u232.5,-105,u232.5,-110,u233,-110,u232.5,-110,u232.5,-110
