Detroit Pistons,112,Houston Rockets,104
Milwaukee Bucks,112,New York Knicks,100
Dallas Mavericks,107,Chicago Bulls,117
Charlotte Hornets,118,Memphis Grizzlies,108
Oklahoma City Thunder,108,New Orleans Pelicans,100
Sacramento Kings,117,San Antonio Spurs,136
Indiana Pacers,98,Denver Nuggets,101
Portland Trail Blazers,109,Phoenix Suns,119
Minnesota Timberwolves,110,Golden State Warriors,123
Miami Heat,117,Los Angeles Lakers,120
Toronto Raptors,115,Philadelphia 76ers,109
Indiana Pacers,111,Utah Jazz,100
Miami Heat,109,Los Angeles Clippers,112
New York Knicks,96,Charlotte Hornets,104
Milwaukee Bucks,113,Boston Celtics,122
Detroit Pistons,78,Cleveland Cavaliers,98
Portland Trail Blazers,104,Houston Rockets,92
Phoenix Suns,119,Memphis Grizzlies,94
Brooklyn Nets,120,New Orleans Pelicans,112
Sacramento Kings,103,Oklahoma City Thunder,105
Dallas Mavericks,123,San Antonio Spurs,109
Atlanta Hawks,96,Denver Nuggets,105
Chicago Bulls,93,Golden State Warriors,119
Minnesota Timberwolves,107,Los Angeles Lakers,83
Miami Heat,111,Utah Jazz,105
Philadelphia 76ers,113,Indiana Pacers,118
Memphis Grizzlies,101,New Orleans Pelicans,112
Washington Wizards,104,Orlando Magic,92
Detroit Pistons,127,Toronto Raptors,121
Boston Celtics,89,Cleveland Cavaliers,91
Minnesota Timberwolves,102,Los Angeles Clippers,129
San Antonio Spurs,106,Los Angeles Lakers,114
Milwaukee Bucks,100,Atlanta Hawks,120
Golden State Warriors,102,Charlotte Hornets,106
Phoenix Suns,115,Houston Rockets,89
Brooklyn Nets,120,Oklahoma City Thunder,96
Portland Trail Blazers,95,Denver Nuggets,124
Chicago Bulls,100,Los Angeles Clippers,90
Boston Celtics,98,Cleveland Cavaliers,92
Sacramento Kings,129,Detroit Pistons,107
New Orleans Pelicans,100,Washington Wizards,105
Orlando Magic,111,Atlanta Hawks,129
Indiana Pacers,84,New York Knicks,92
Denver Nuggets,101,Dallas Mavericks,111
Houston Rockets,102,Memphis Grizzlies,136
Phoenix Suns,99,Minnesota Timberwolves,96
Miami Heat,103,Oklahoma City Thunder,90
Toronto Raptors,113,Portland Trail Blazers,118
Chicago Bulls,121,Los Angeles Lakers,103
Golden State Warriors,117,Brooklyn Nets,99
Philadelphia 76ers,85,Utah Jazz,120
San Antonio Spurs,92,Los Angeles Clippers,106
Washington Wizards,87,Charlotte Hornets,97
Indiana Pacers,89,Detroit Pistons,97
Boston Celtics,99,Atlanta Hawks,110
Cleveland Cavaliers,99,Brooklyn Nets,109
New Orleans Pelicans,98,Miami Heat,113
Los Angeles Lakers,102,Milwaukee Bucks,109
Orlando Magic,104,New York Knicks,98
Sacramento Kings,97,Minnesota Timberwolves,107
Houston Rockets,89,Oklahoma City Thunder,101
Dallas Mavericks,98,Phoenix Suns,105
Chicago Bulls,107,Portland Trail Blazers,112
Golden State Warriors,104,Cleveland Cavaliers,89
Washington Wizards,97,Miami Heat,112
Los Angeles Clippers,108,Memphis Grizzlies,120
San Antonio Spurs,90,Minnesota Timberwolves,115
Philadelphia 76ers,103,Denver Nuggets,89
Toronto Raptors,103,Utah Jazz,119
Indiana Pacers,118,Charlotte Hornets,121
Golden State Warriors,105,Detroit Pistons,102
Los Angeles Lakers,108,Boston Celtics,130
Orlando Magic,113,Brooklyn Nets,115
Oklahoma City Thunder,89,Milwaukee Bucks,96
Los Angeles Clippers,81,New Orleans Pelicans,94
Chicago Bulls,114,Denver Nuggets,108
Dallas Mavericks,104,Phoenix Suns,112
Toronto Raptors,108,Sacramento Kings,89
Houston Rockets,99,New York Knicks,106
New Orleans Pelicans,94,Indiana Pacers,111
Miami Heat,100,Washington Wizards,103
Charlotte Hornets,105,Atlanta Hawks,115
Oklahoma City Thunder,105,Boston Celtics,111
Orlando Magic,108,Milwaukee Bucks,117
Memphis Grizzlies,95,Minnesota Timberwolves,138
Philadelphia 76ers,111,Portland Trail Blazers,118
Utah Jazz,123,Sacramento Kings,105
Dallas Mavericks,91,Los Angeles Clippers,97
Los Angeles Lakers,121,Detroit Pistons,116
New York Knicks,103,Chicago Bulls,109
Denver Nuggets,97,Phoenix Suns,126
Toronto Raptors,104,Golden State Warriors,119
Brooklyn Nets,117,Cleveland Cavaliers,112
Charlotte Hornets,109,Washington Wizards,103
Oklahoma City Thunder,101,Atlanta Hawks,113
Houston Rockets,90,Boston Celtics,108
Indiana Pacers,109,Chicago Bulls,77
